osm2xodr conversion report
=========================

Input: build/windows-arm64/Debug/Karlsruhe.osm
Output: build/windows-arm64/Release/karlsruhe_merged.xodr
OSM road ways parsed: 810
OpenDRIVE roads written: 2878 (1932 junction connector roads)
Junctions written: 425
Signals/signs written: 880
Projection origin: lat=49.0051 lon=8.43745

Road summary
------------
w4278499_2 source_way=4278499 length=2.68 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w4278499_3 source_way=4278499 length=33.78 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w1009117037_0 source_way=1009117037 length=146.28 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4293511_0 source_way=4293511 length=13.94 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4293512_0 source_way=4293512 length=48.98 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4293512_1 source_way=4293512 length=5.33 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4293514_0 source_way=4293514 length=31.33 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4485665_0 source_way=4485665 length=152.00 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485674_0 source_way=4485674 length=101.99 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485674_1 source_way=4485674 length=7.58 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485674_2 source_way=4485674 length=32.34 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485677_0 source_way=4485677 length=9.65 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485677_1 source_way=4485677 length=14.51 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485678_0 source_way=4485678 length=79.82 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485678_1 source_way=4485678 length=3.35 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485679_0 source_way=4485679 length=71.35 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4533687_0 source_way=4533687 length=5.63 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4850190_0 source_way=4850190 length=49.06 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4850191_0 source_way=4850191 length=7.24 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4850191_1 source_way=4850191 length=5.76 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4850969_0 source_way=4850969 length=14.57 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=1
w4950874_0 source_way=4950874 length=12.30 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w22924776_0 source_way=22924776 length=81.93 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24156434_0 source_way=24156434 length=52.22 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24186754_0 source_way=24186754 length=44.60 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24186756_0 source_way=24186756 length=44.61 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24276702_0 source_way=24276702 length=10.32 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24276703_0 source_way=24276703 length=25.68 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24276704_0 source_way=24276704 length=47.91 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24276705_0 source_way=24276705 length=35.18 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24276706_0 source_way=24276706 length=2.20 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24276706_1 source_way=24276706 length=3.62 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24276706_2 source_way=24276706 length=53.70 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24276708_0 source_way=24276708 length=6.18 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24276708_1 source_way=24276708 length=31.02 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24276709_0 source_way=24276709 length=13.89 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24295468_0 source_way=24295468 length=5.93 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w25403732_0 source_way=25403732 length=72.41 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w25403732_1 source_way=25403732 length=3.88 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w25403732_2 source_way=25403732 length=28.99 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w25403732_3 source_way=25403732 length=25.49 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=2
w25403732_4 source_way=25403732 length=3.39 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w26238094_0 source_way=26238094 length=25.27 forward=1 backward=1 left_lanes=2 right_lanes=1 signals=1
w26238094_1 source_way=26238094 length=1.00 forward=1 backward=1 left_lanes=2 right_lanes=1 signals=1
w32132567_0 source_way=32132567 length=4.64 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
