osm2xodr conversion report
=========================

Input: build/windows-arm64/Debug/Karlsruhe.osm
Output: build/windows-arm64/Release/karlsruhe_gap.xodr
OSM road ways parsed: 810
OpenDRIVE roads written: 2055 (1388 junction connector roads)
Junctions written: 179
Compound junctions: 92 (merging 338 OSM junction nodes)
Signals/signs written: 676
Projection origin: lat=49.0051 lon=8.43745

Road summary
------------
w134514636_2 source_way=134514636 length=65.25 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134514680_1 source_way=134514680 length=36.03 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w684754959_1 source_way=684754959 length=174.33 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134514684_1 source_way=134514684 length=5.65 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=2
w134514684_2 source_way=134514684 length=7.34 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=1
w849345542_0 source_way=849345542 length=76.91 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134514689_0 source_way=134514689 length=20.78 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w134514696_0 source_way=134514696 length=15.60 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134547009_1 source_way=134547009 length=33.39 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134547009_2 source_way=134547009 length=78.18 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134547011_0 source_way=134547011 length=62.60 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=1
w134547011_1 source_way=134547011 length=68.12 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=2
w134547012_0 source_way=134547012 length=14.44 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=2
w134547013_1 source_way=134547013 length=16.41 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134547015_0 source_way=134547015 length=34.99 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134547020_0 source_way=134547020 length=9.73 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547020_1 source_way=134547020 length=27.33 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547021_0 source_way=134547021 length=97.41 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=1
w134547022_0 source_way=134547022 length=22.78 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
