osm2xodr conversion report
=========================

Input: build/windows-arm64/Debug/Karlsruhe.osm
Output: build/windows-arm64/Release/karlsruhe_plain.xodr
OSM road ways parsed: 810
OpenDRIVE roads written: 2966 (1721 junction connector roads)
Junctions written: 424
Signals/signs written: 1096
Projection origin: lat=49.0051 lon=8.43745

Road summary
------------
w24186756_0 source_way=24186756 length=44.61 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24276702_0 source_way=24276702 length=11.84 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24276703_0 source_way=24276703 length=25.68 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24276704_0 source_way=24276704 length=47.91 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24276705_0 source_way=24276705 length=35.18 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24276706_0 source_way=24276706 length=2.20 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24276706_1 source_way=24276706 length=3.62 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24276706_2 source_way=24276706 length=12.18 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24276708_0 source_way=24276708 length=6.18 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24276708_1 source_way=24276708 length=31.02 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24276709_0 source_way=24276709 length=14.81 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24295468_0 source_way=24295468 length=5.93 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w25403732_0 source_way=25403732 length=72.41 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w25403732_1 source_way=25403732 length=3.88 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w25403732_2 source_way=25403732 length=28.99 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w25403732_3 source_way=25403732 length=25.49 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=2
w25403732_4 source_way=25403732 length=3.39 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w26238094_0 source_way=26238094 length=24.88 forward=1 backward=1 left_lanes=2 right_lanes=1 signals=1
w26238094_1 source_way=26238094 length=1.00 forward=1 backward=1 left_lanes=2 right_lanes=1 signals=1
w32132567_0 source_way=32132567 length=5.46 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w32132567_1 source_way=32132567 length=3.38 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w32132567_2 source_way=32132567 length=7.09 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w34926164_0 source_way=34926164 length=1.27 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926164_1 source_way=34926164 length=4.52 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926164_2 source_way=34926164 length=4.54 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926164_3 source_way=34926164 length=4.43 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926165_0 source_way=34926165 length=16.05 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926165_1 source_way=34926165 length=25.98 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926166_0 source_way=34926166 length=17.65 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926166_1 source_way=34926166 length=16.05 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926168_0 source_way=34926168 length=16.05 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926168_1 source_way=34926168 length=8.80 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926169_0 source_way=34926169 length=20.68 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926169_1 source_way=34926169 length=22.51 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926170_0 source_way=34926170 length=10.68 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926171_0 source_way=34926171 length=52.36 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w34926172_0 source_way=34926172 length=51.03 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w39159498_0 source_way=39159498 length=34.75 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w39159499_0 source_way=39159499 length=48.02 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w39159501_0 source_way=39159501 length=77.53 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w42121545_0 source_way=42121545 length=26.36 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w42121545_1 source_way=42121545 length=5.33 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w42121545_2 source_way=42121545 length=1.31 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w42121545_3 source_way=42121545 length=0.55 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w42121546_0 source_way=42121546 length=37.19 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w42121547_0 source_way=42121547 length=26.36 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w42272059_0 source_way=42272059 length=6.86 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w42272060_0 source_way=42272060 length=17.19 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w51775226_0 source_way=51775226 length=5.46 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w51775244_0 source_way=51775244 length=198.28 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w51775244_1 source_way=51775244 length=28.93 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w51775244_2 source_way=51775244 length=81.71 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w51775244_3 source_way=51775244 length=56.31 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w51894040_0 source_way=51894040 length=87.27 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w51983542_0 source_way=51983542 length=99.18 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w53004814_0 source_way=53004814 length=77.92 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w53005032_0 source_way=53005032 length=36.54 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w66080258_0 source_way=66080258 length=48.43 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w66080258_1 source_way=66080258 length=10.00 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w66080258_2 source_way=66080258 length=14.53 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w70581399_0 source_way=70581399 length=17.33 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w70581399_1 source_way=70581399 length=7.70 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w90464977_0 source_way=90464977 length=13.07 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w90464977_1 source_way=90464977 length=1.53 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w90464977_2 source_way=90464977 length=6.77 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w99341599_0 source_way=99341599 length=32.32 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w99344708_0 source_way=99344708 length=14.36 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=2
w99344708_1 source_way=99344708 length=2.50 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=2
w99344708_2 source_way=99344708 length=12.90 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=1
w99344709_0 source_way=99344709 length=11.49 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=2
w99344709_1 source_way=99344709 length=3.82 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=1
w99344709_2 source_way=99344709 length=3.84 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=3
w99344709_3 source_way=99344709 length=14.33 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=1
w100194526_0 source_way=100194526 length=37.69 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w100194526_1 source_way=100194526 length=4.45 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w100194526_2 source_way=100194526 length=50.38 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w102172493_0 source_way=102172493 length=32.77 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w102172493_1 source_way=102172493 length=34.23 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w102172506_0 source_way=102172506 length=32.54 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=2
w102172506_1 source_way=102172506 length=20.19 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=1
w102172506_2 source_way=102172506 length=6.82 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=1
w102265426_0 source_way=102265426 length=5.28 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=2
w102265426_1 source_way=102265426 length=23.95 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=1
