osm2xodr conversion report
=========================

Input: ../Debug/Karlsruhe.osm
Output: karlsruhe_final.xodr
OSM road ways parsed: 810
OpenDRIVE roads written: 2420 (1657 junction connector roads)
Junctions written: 256
Compound junctions: 93 (merging 259 OSM junction nodes)
Signals/signs written: 749
Projection origin: lat=49.0051 lon=8.43745

Road summary
------------
w134499589_0 source_way=134499589 length=18.05 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=2
w134499591_0 source_way=134499591 length=81.19 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w134499596_0 source_way=134499596 length=12.19 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w497755222_2 source_way=497755222 length=58.09 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w134505258_1 source_way=134505258 length=8.23 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w134505258_2 source_way=134505258 length=16.11 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w134505258_3 source_way=134505258 length=143.89 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w638610460_0 source_way=638610460 length=201.49 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w558244752_0 source_way=558244752 length=151.94 forward=1 backward=0 left_lanes=1 right_lanes=1 signals=1
w134514635_0 source_way=134514635 length=103.20 forward=1 backward=0 left_lanes=1 right_lanes=2 signals=1
w648726359_2 source_way=648726359 length=33.23 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134514636_2 source_way=134514636 length=65.25 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134514680_0 source_way=134514680 length=10.83 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w134514680_1 source_way=134514680 length=36.03 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w684754959_1 source_way=684754959 length=174.33 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134514684_1 source_way=134514684 length=5.65 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=2
w134514684_2 source_way=134514684 length=7.59 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=1
w849345542_0 source_way=849345542 length=76.91 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134514689_0 source_way=134514689 length=22.13 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w134514696_0 source_way=134514696 length=15.60 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134547015_1 source_way=134547015 length=23.50 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134547009_1 source_way=134547009 length=40.36 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134547009_2 source_way=134547009 length=80.66 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134547011_0 source_way=134547011 length=62.60 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=1
w134547011_1 source_way=134547011 length=68.12 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=2
w134547012_0 source_way=134547012 length=14.45 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=2
w134547013_1 source_way=134547013 length=16.41 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134547015_0 source_way=134547015 length=31.19 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134547020_0 source_way=134547020 length=9.73 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547020_1 source_way=134547020 length=27.33 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
